,result,table,time,cloudcover,dew,humidity,precip,precipprob,solarenergy,solarradiation,sunelevation,temp,uvindex,whProduced
,,0,1643594400000,28.1,46.6,71.63,0,0,0.2,62,4.9,55.6,1,17
,,0,1643598000000,15.8,45.7,76.61,0,0,0.1,14,-6.3,52.8,0,0
,,0,1643601600000,8.7,47.8,85.89,0,0,0.1,0,-17.9,51.9,0,0
,,0,1643605200000,8.7,45.9,87.05,0,0,0.1,0,-29.8,49.6,0,0
,,0,1643608800000,15.8,46.6,90.75,0,0,0.1,0,-41.7,49.2,0,0
,,0,1643612400000,16.5,44.7,85.73,0,0,0.1,0,-53.1,48.8,0,0
,,0,1643616000000,8.7,44.7,91.88,0,0,0.1,0,-63.2,46.9,0,0
,,0,1643619600000,9.4,42.9,90.72,0,0,0.1,0,-69.5,45.4,0,0
,,0,1643623200000,62.6,42.4,90.86,0,0,0.1,0,-68.3,44.9,0,0
,,0,1643626800000,26.2,40.7,89.44,0,0,0.1,0,-60.6,43.6,0,0
,,0,1643630400000,18.5,40.4,90.51,0,0,0.1,0,-50,43,0,0
,,0,1643634000000,32.5,39,86.51,0,0,0.1,0,-38.4,42.8,0,0
,,0,1643637600000,47.6,39.5,90.04,0,0,0.1,0,-26.4,42.2,0,0
,,0,1643641200000,57.5,39.1,89.49,0,0,0.1,0,-14.6,42,0,0
,,0,1643644800000,54.9,39.2,92.63,0,0,0.1,26,-3.1,41.2,0,49
,,0,1643648400000,56.9,40.4,91.68,0,0,0.1,29,7.9,42.6,0,801
,,0,1643652000000,48.6,42.9,90.07,0,0,0.5,142,17.7,45.7,1,1703
,,0,1643655600000,29.2,45.7,86.15,0,0,1.1,292,26.1,49.7,3,1643
,,0,1643659200000,33.6,46,75.76,0,0,1.1,319,32.2,53.4,3,1710
,,0,1643662800000,30.1,46.4,71.81,0,0,1.3,348,35.2,55.3,3,1146
,,0,1643666400000,31.6,46.3,74.83,0,0,0.8,233,34.8,54.1,2,764
,,0,1643670000000,31.6,47.5,78.02,0,0,0.6,163,30.8,54.2,2,683
,,0,1643673600000,31.6,46.6,71.63,0,0,0.6,163,24,55.6,2,585
,,0,1643677200000,33.6,44.5,63.33,0,0,0.5,130,15.2,56.8,1,280
,,0,1643680800000,31.6,45.7,72.36,0,0,0.2,59,5.1,54.4,1,26
